Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:00:00.274	00:00:01.238	00:00:00.964	{НРЗБ}	
00:00:01.274	00:00:06.607	00:00:05.333		{КАШЕЛЬ} А(0.2) я хочу а(0.3) поделиться м(0.2) радостным событием,
00:00:06.619	00:00:13.012	00:00:06.393		моему ...(0.1) замечательному другу и коллеге а на днях исполнилась а а круглая дата, ...(0.3)
00:00:13.043	00:00:18.872	00:00:05.829		 и я был а приглашен на-а(0.2) замечательный вечер,
00:00:18.894	00:00:20.085	00:00:01.191		юбилей, ...(0.4)
00:00:20.106	00:00:20.638	00:00:00.532		а вот,
00:00:20.660	00:00:26.021	00:00:05.361		где мой замечательный друг ...(0.3) играл спектакль,
00:00:26.043	00:00:29.915	00:00:03.872		а(0.2) в роли || он был в роли Алексея Максимовича Горького,
00:00:29.936	00:00:34.489	00:00:04.553		и м(0.2) зовут этого замечательного человека Игорь Олегович Смиловский.
00:00:34.511	00:00:36.000	00:00:01.489		А вот а(0,2).
00:00:36.021	00:00:42.617	00:00:06.596		Мне было {КАШЕЛЬ} || а(0.2) я был в курсе всего этого {КАШЕЛЬ} а дела,
00:00:42.617	00:00:44.298	00:00:01.681		подготовки к этому вечеру, 
00:00:44.319	00:00:44.617	00:00:00.298		да,
00:00:44.617	00:00:48.255	00:00:03.638		и а(0.2) м(0.2) даже принимал какое-то участие |S|
00:00:48.277	00:00:49.426	00:00:01.149		Так вот,
00:00:49.447	00:00:54.809	00:00:05.362		и когда а(0.4) м(0.2) случился а(0.3) этот спектакль,
00:00:54.830	00:00:58.043	00:00:03.213		настал этот м(0.3) в= день,
00:00:58.064	00:00:59.106	00:00:01.042		а(0.2) вот,
00:00:59.128	00:01:02.255	00:00:03.127		естественно он пригласил очень много гостей,
00:01:02.277	00:01:03.383	00:00:01.106		а вот,
00:01:03.404	00:01:09.426	00:00:06.022		и а(0.3) труппу а(0.3) пригласил на свой юбилейный вечер,
00:01:09.426	00:01:10.404	00:00:00.978		а вот,
00:01:10.447	00:01:14.362	00:00:03.915		Э(0.2) к этому времени уже м(0.2) шла какая-то подготовка,
00:01:14.383	00:01:17.915	00:00:03.532		готовилось а(0.4) какие-то блюда,
00:01:17.979	00:01:20.915	00:00:02.936		какие-то всевозможные напитки,
00:01:20.957	00:01:23.638	00:00:02.681		всевозможные а(0.3) закуски,
00:01:23.660	00:01:24.872	00:00:01.212		и так далее и тому подобное |S|
00:01:24.872	00:01:26.128	00:00:01.256		Но самое главное то |E|
00:01:26.128	00:01:31.085	00:00:04.957		что а(0.3) Игорь Олегович а(0.3) очень переживал,
00:01:31.085	00:01:36.723	00:00:05.638		что м(0.5) у него очень много было желающих попасть на этот спектакль,
00:01:36.766	00:01:38.149	00:00:01.383		на этот юбилей,
00:01:38.149	00:01:40.064	00:00:01.915		а как оказалось,
00:01:40.064	00:01:44.128	00:00:04.064		мест было очень ограниченное количество |S|
00:01:44.128	00:01:46.617	00:00:02.489		Но тем не менее все случилось,
00:01:46.638	00:01:49.191	00:00:02.553		все м(0.2) были м(0.2) усажены,
00:01:49.234	00:01:51.787	00:00:02.553		и все смотрели этот замечательный спектакль,
00:01:51.809	00:01:53.638	00:00:01.829		называется «Затмение солнца».
00:01:53.660	00:01:59.128	00:00:05.468		И после того как я а(0.3) э(0.4) я …(0.4) а(0.2) посмотрел часть спектакля,
00:01:59.128	00:02:01.809	00:00:02.681		и это было уже под финал, …(0.5)
00:02:01.830	00:02:02.106	00:00:00.276		вот,
00:02:02.149	00:02:05.128	00:00:02.979		когда Игорь Олегович …(0.3) был на сцене,
00:02:05.128	00:02:08.298	00:00:03.170		ему …(0.3) а(0.7) || было сообщено зрителю |E|
00:02:08.298	00:02:10.170	00:00:01.872		что у него сегодня юбилей,
00:02:10.170	00:02:10.766	00:00:00.596		вот.
00:02:10.766	00:02:12.745	00:00:01.979		Ну-у, многие знали м=,
00:02:12.745	00:02:15.085	00:00:02.340		но часть зрителей, конечно, не знало об этом. …(0.3)
00:02:15.106	00:02:17.830	00:00:02.724		И тем не менее …(0.3) ему устроили овацию, 
00:02:17.830	00:02:19.468	00:00:01.638		кричали браво бис,
00:02:19.468	00:02:21.766	00:00:02.298		поздравляли с днём рождения,
00:02:21.766	00:02:25.404	00:00:03.638		Игорь Олегович в этом смысле очень был растроган,
00:02:25.447	00:02:27.319	00:00:01.872		я за него очень переживал |E|
00:02:27.340	00:02:31.319	00:00:03.979		потому что …(0.6) ну-у долго мы ждали этого момента,
00:02:31.340	00:02:34.277	00:00:02.937		э(0.5) когда э(0.7) это случится.
00:02:34.298	00:02:35.340	00:00:01.042		Ну, хочешь не хочешь,
00:02:35.362	00:02:36.638	00:00:01.276		но это случилось.
00:02:36.638	00:02:41.404	00:00:04.766		Ну я думаю, что это дата такая для мужчины э(0.5) знаковая …(0.3) |S|
00:02:41.468	00:02:43.298	00:00:01.830		Так вот, …(1.0) 
00:02:43.319	00:02:47.851	00:00:04.532		{ЦОКАНЬЕ} и-и в этом смысле он дпже сделал подарок …(0.4) зрителю,
00:02:47.851	00:02:51.979	00:00:04.128		он прочитал басню Валерия Романовича …(0.4) а(0.3) Беляковича,
00:02:51.979	00:02:54.745	00:00:02.766		а(0.1) м(0.9) вот о том |E|
00:02:54.745	00:02:57.128	00:00:02.383		что любое дело надо доводить до конца.
00:02:57.128	00:02:58.149	00:00:01.021		Зритель |ES|
00:02:58.149	00:03:01.085	00:00:02.936		Это была очень любопытная необычная басня,
00:03:01.085	00:03:03.319	00:00:02.234		которую он исполнил со сцены,
00:03:03.340	00:03:05.617	00:00:02.277		с охапкой цвето-ов, …(0.5)
00:03:05.638	00:03:06.085	00:00:00.447		вот,
00:03:06.106	00:03:08.234	00:00:02.128		в общем так …(0.5) || с такой энергией,
00:03:08.255	00:03:10.553	00:00:02.298		и как он всегда это делает и делал,
00:03:10.553	00:03:12.298	00:00:01.745		а вот,
00:03:12.362	00:03:17.043	00:00:04.681		и а(0.4) зал ещё больше был в этом смысле впечатлён,
00:03:17.085	00:03:17.979	00:00:00.894		благодарен ему,
00:03:18.021	00:03:20.638	00:00:02.617		и-и его долго не отпус-скали,
00:03:20.638	00:03:22.745	00:00:02.107		м(0.6) аплодировали ему,
00:03:22.766	00:03:25.021	00:00:02.255		и э(0.6) было много цветов,
00:03:25.043	00:03:26.809	00:00:01.766		было много …(0.3) подарков.
00:03:26.830	00:03:29.851	00:00:03.021		и вот эта вся э(0.4) гримерка |E|
00:03:29.851	00:03:32.255	00:00:02.404		была усыпана …(0.5) э(0.2) цвета-ами,
00:03:32.298	00:03:34.979	00:00:02.681		вся была усыпана подарками {СМЕЁТСЯ},
00:03:35.021	00:03:36.936	00:00:01.915		по не= || Нам приходилось {СМЕЁТСЯ} |ES|
00:03:36.957	00:03:38.489	00:00:01.532		Цветы подарки,
00:03:38.489	00:03:39.298	00:00:00.809		тут понимаешь,
00:03:39.298	00:03:40.872	00:00:01.574		некуда было ступить. …(0.5),
00:03:40.872	00:03:43.660	00:00:02.788		И потом {КАШЛЯЕТ} он разоблачился,
00:03:43.702	00:03:48.298	00:00:04.596		и мы пошли …(1.0) на третий этаж в фойе,
00:03:48.298	00:03:53.979	00:00:05.681		и там уже …(0.4) а(1.2) собралась театральная обще-ественность,
00:03:53.979	00:03:54.596	00:00:00.617		коллеги,
00:03:54.617	00:03:55.192	00:00:00.575		друзья,
00:03:55.213	00:03:55.979	00:00:00.766		артисты,
00:03:55.979	00:03:58.766	00:00:02.787		приглашенные люди |ES|
00:03:58.766	00:04:01.426	00:00:02.660		И а(0.3) м-мы немного задержались,
00:04:01.426	00:04:02.851	00:00:01.425		потому что я его ждал,
00:04:02.894	00:04:08.000	00:00:05.106		чтобы сопроводить …(0.5) моего друга а(0.2) м(1.1) наверх,
00:04:08.043	00:04:08.851	00:00:00.808		чтобы его,
00:04:08.872	00:04:10.340	00:00:01.468		м(0.2) а(0.3) как говорится,
00:04:10.383	00:04:12.043	00:00:01.660		чествовать стали.
00:04:12.064	00:04:13.532	00:00:01.468		И вот мы поднима-аемся,
00:04:13.574	00:04:15.021	00:00:01.447		и вот там уже люди,
00:04:15.064	00:04:17.681	00:00:02.617		и вот они стали …(0.5) кричать:
00:04:17.702	00:04:22.596	00:00:04.894		«С днём рождения! С днём рождения! Сднём рождения!».
00:04:22.617	00:04:29.447	00:00:06.830		Игорь конечно || он || он человек конечно очень а(0.4) м(1.2) || ну мужик,
00:04:29.468	00:04:32.298	00:00:02.830		но в этот момент я вижу он был очень растроган {СМЕЁТСЯ}.
00:04:32.809	00:04:33.596	00:00:00.787		Вот.
00:04:33.638	00:04:36.149	00:00:02.511		Потом он всех пригласил к столу,
00:04:36.149	00:04:37.106	00:00:00.957		а вот,
00:04:37.106	00:04:37.660	00:00:00.554		и сказал:
00:04:37.660	00:04:43.170	00:00:05.510		«Ну а теперь значит давайте выпьем за замечательный наш де-ень, 
00:04:43.213	00:04:44.085	00:00:00.872		мой праздник, 
00:04:44.085	00:04:45.043	00:00:00.958		юбилей».
00:04:45.064	00:04:45.511	00:00:00.447		Вот.
00:04:45.532	00:04:46.766	00:00:01.234		Он поблагодарил коллег |ES|
00:04:46.787	00:04:48.574	00:00:01.787		А потом …(0.3) а(0.2) все выпили,
00:04:48.574	00:04:49.617	00:00:01.043		и стали а(0.7) |S|
00:04:49.638	00:04:52.468	00:00:02.830		Что было для меня приятно,
